,ATP,HTGD,ATGD,DiffFormPts,DiffPts,DiffLP,FTR
292,34,-13.0,-4.0,3,6,-5.0,H
293,43,5.0,-2.0,1,-3,5.0,A
294,63,-17.0,29.0,-11,-36,17.0,A
295,21,0.0,-29.0,4,21,-8.0,A
296,75,-8.0,40.0,-9,-43,11.0,H
297,55,-3.0,15.0,0,-16,4.0,A
298,32,-4.0,-8.0,4,2,4.0,D
299,40,40.0,5.0,6,35,-14.0,H
300,43,19.0,-10.0,0,15,-8.0,H
301,49,-35.0,5.0,-12,-39,14.0,A
302,45,-1.0,1.0,0,1,1.0,A
303,39,-7.0,-5.0,-1,0,6.0,H
304,24,32.0,-21.0,11,42,-16.0,H
305,48,-9.0,9.0,3,-11,6.0,H
306,27,15.0,-18.0,7,25,-14.0,H
307,45,32.0,1.0,8,21,-7.0,H
308,34,25.0,-7.0,5,16,-12.0,H
309,75,-21.0,39.0,-5,-51,17.0,D
310,69,8.0,33.0,-9,-21,6.0,A
311,10,-12.0,-36.0,7,33,-9.0,D
312,27,-11.0,-25.0,-6,8,-5.0,A
313,55,-7.0,16.0,-4,-16,2.0,H
314,61,-19.0,21.0,-9,-34,16.0,A
315,40,2.0,-8.0,-6,0,1.0,A
316,42,0.0,-5.0,-4,3,-4.0,D
317,46,6.0,-2.0,5,6,-4.0,D
318,48,-21.0,8.0,-4,-23,10.0,H
319,43,-5.0,-12.0,1,-1,2.0,D
320,53,-25.0,6.0,0,-25,11.0,D
321,40,14.0,1.0,6,15,-10.0,H
322,28,-2.0,-20.0,2,19,-8.0,D
323,27,-12.0,-21.0,3,8,-3.0,D
324,46,41.0,0.0,6,33,-8.0,H
325,48,23.0,7.0,7,16,-5.0,H
326,53,34.0,28.0,3,19,-2.0,H
327,42,-9.0,-5.0,0,-2,7.0,A
328,53,-25.0,28.0,-2,-25,13.0,D
329,11,34.0,-36.0,14,61,-18.0,D
330,28,28.0,-21.0,8,26,-15.0,H
331,82,5.0,44.0,-10,-34,7.0,A
332,58,-12.0,15.0,-1,-13,6.0,A
333,44,-13.0,-5.0,-4,-8,-1.0,H
334,48,-4.0,-2.0,-2,-3,-3.0,H
335,40,-25.0,-10.0,5,-11,3.0,H
336,40,-3.0,0.0,4,6,-6.0,H
337,29,-12.0,-20.0,-3,7,-2.0,H
338,67,6.0,25.0,-1,-13,3.0,A
339,29,-5.0,-25.0,-3,15,-4.0,H
340,45,46.0,-13.0,5,40,-10.0,H
