,ATP,HTGD,ATGD,DiffFormPts,DiffPts,DiffLP,FTR
745,40,-22.0,-8.0,-2,-5,-12.0,A
746,81,28.0,40.0,2,-15,2.0,D
747,56,-24.0,2.0,-5,-23,14.0,A
748,88,40.0,57.0,-1,-7,1.0,D
749,50,2.0,-2.0,-2,6,-5.0,D
750,54,-2.0,5.0,1,-3,2.0,D
751,49,-5.0,2.0,-9,6,-4.0,D
752,57,40.0,16.0,0,25,-4.0,D
753,33,30.0,-26.0,5,34,-16.0,D
754,38,57.0,-25.0,2,51,-14.0,A
755,39,-7.0,-20.0,0,4,12.0,H
756,67,3.0,28.0,-4,-14,5.0,D
757,35,-22.0,-23.0,5,3,18.0,A
758,42,2.0,-14.0,7,15,-9.0,H
759,42,-30.0,-9.0,5,-15,7.0,D
790,5,2.0,2.0,2,2,-6.0,H
791,1,-5.0,-2.0,0,0,1.0,A
792,5,2.0,1.0,1,1,-2.0,D
793,7,-2.0,3.0,-3,-3,11.0,A
794,6,-1.0,3.0,-2,-2,-4.0,D
795,3,-1.0,1.0,-1,-1,-10.0,H
796,5,-1.0,2.0,-2,-2,1.0,D
797,6,-5.0,2.0,-6,-6,11.0,A
798,3,-1.0,1.0,0,0,6.0,D
799,1,3.0,-5.0,6,6,-16.0,H
800,4,0.0,-4.0,1,1,-14.0,H
801,4,-1.0,-1.0,0,0,-6.0,H
802,7,3.0,3.0,1,1,-2.0,H
803,7,-3.0,2.0,-3,-3,8.0,A
804,5,4.0,1.0,5,5,-5.0,H
805,10,2.0,3.0,-3,-3,4.0,H
806,9,2.0,3.0,-1,-1,-2.0,H
807,3,-1.0,-2.0,1,1,3.0,H
808,8,3.0,2.0,2,2,-5.0,D
809,5,2.0,0.0,2,2,4.0,A
810,11,-1.0,9.0,-6,-6,4.0,D
811,4,-5.0,-6.0,0,0,-3.0,H
812,13,0.0,6.0,-9,-9,8.0,A
813,7,5.0,1.0,3,3,-3.0,H
814,4,2.0,-2.0,3,3,-3.0,D
815,7,2.0,1.0,2,2,3.0,H
816,8,-12.0,2.0,-7,-7,8.0,H
817,1,6.0,-12.0,12,12,-17.0,H
818,9,-2.0,2.0,-5,-5,8.0,D
819,4,9.0,-3.0,7,7,-15.0,D
820,7,-2.0,-4.0,3,0,-2.0,D
821,8,-7.0,2.0,-5,-4,4.0,H
822,10,3.0,2.0,3,0,1.0,H
823,6,1.0,-1.0,1,3,-1.0,A
824,4,-4.0,-2.0,-1,-1,5.0,D
825,11,2.0,1.0,2,0,-1.0,H
826,10,4.0,3.0,-2,1,2.0,H
827,11,-2.0,2.0,-3,-4,18.0,A
828,5,1.0,-2.0,3,6,-15.0,D
829,3,-11.0,-4.0,0,1,4.0,D
830,11,3.0,2.0,0,2,-3.0,H
831,7,0.0,-6.0,1,2,-10.0,H
832,12,-4.0,2.0,-4,-4,8.0,A
833,19,2.0,12.0,-8,-9,7.0,A
834,15,1.0,10.0,-6,-7,10.0,A
835,8,0.0,-2.0,-4,2,-8.0,H
836,11,-2.0,3.0,-5,-6,5.0,D
837,10,3.0,2.0,3,1,-4.0,H
838,8,4.0,1.0,7,6,-13.0,H
839,8,12.0,-4.0,11,11,-12.0,H
840,8,3.0,-3.0,3,7,-12.0,H
841,12,-4.0,-1.0,0,-7,14.0,A
842,12,-2.0,3.0,-3,-5,9.0,A
843,6,10.0,-2.0,6,10,-7.0,D
844,8,5.0,-4.0,2,8,-4.0,H
845,13,3.0,2.0,2,1,7.0,H
846,5,-9.0,-16.0,-1,2,-2.0,H
847,5,13.0,-4.0,10,17,-13.0,H
848,17,4.0,5.0,-5,-3,5.0,A
849,7,3.0,-9.0,7,8,-11.0,H
850,19,1.0,11.0,-3,-6,1.0,A
851,5,-4.0,-17.0,0,2,-3.0,D
852,8,7.0,-4.0,6,11,-10.0,H
853,15,-6.0,0.0,-1,-7,11.0,A
854,15,-4.0,5.0,-9,-7,6.0,A
855,8,3.0,-6.0,2,5,-5.0,H
856,7,5.0,-2.0,5,10,1.0,H
857,8,-4.0,-4.0,3,0,5.0,H
858,19,0.0,7.0,-5,-4,-7.0,H
859,8,9.0,-6.0,11,12,-12.0,H
860,14,7.0,3.0,9,4,-2.0,D
861,17,-10.0,4.0,-3,-7,6.0,H
862,8,-8.0,-4.0,0,0,-2.0,D
863,15,-7.0,1.0,-6,-10,10.0,D
864,13,-17.0,0.0,2,-7,15.0,A
865,26,11.0,15.0,-4,-6,1.0,D
866,21,-4.0,6.0,-9,-14,4.0,A
867,23,15.0,12.0,-2,3,2.0,D
868,6,1.0,-17.0,3,9,-14.0,H
869,20,6.0,11.0,3,1,3.0,D
870,11,2.0,-4.0,2,5,-14.0,H
871,13,-4.0,-9.0,-5,-4,-1.0,H
872,7,-11.0,-5.0,-2,1,2.0,D
873,19,1.0,7.0,-7,-2,4.0,A
874,21,-7.0,8.0,-10,-13,12.0,A
875,6,3.0,-7.0,2,9,-6.0,D
876,9,2.0,-8.0,8,13,-6.0,H
877,15,-19.0,3.0,-3,-9,10.0,A
878,9,11.0,-4.0,5,12,-13.0,H
879,17,-8.0,1.0,-4,-8,3.0,D
880,21,-6.0,4.0,-7,-10,13.0,A
881,9,-7.0,-11.0,2,-2,3.0,D
882,19,10.0,4.0,4,5,-3.0,D
883,22,15.0,4.0,3,5,-6.0,H
884,25,10.0,3.0,1,-3,-1.0,D
885,8,-5.0,-9.0,3,0,-3.0,H
886,30,-11.0,17.0,-5,-17,15.0,A
887,8,17.0,-9.0,11,22,-11.0,H
888,22,-6.0,10.0,-10,-11,11.0,A
889,27,-7.0,15.0,-10,-20,15.0,H
890,25,-26.0,10.0,-12,-19,18.0,A
891,10,4.0,-9.0,5,10,-10.0,H
892,13,3.0,-13.0,4,13,-9.0,H
893,24,-11.0,7.0,-8,-14,7.0,A
894,27,-2.0,16.0,-7,-9,8.0,A
895,23,-4.0,4.0,-3,-11,10.0,D
896,11,8.0,-1.0,4,8,-1.0,D
897,24,4.0,7.0,-2,-1,1.0,A
898,33,7.0,19.0,-1,-9,3.0,A
899,18,4.0,-2.0,4,5,-5.0,H
900,19,12.0,7.0,7,9,-8.0,H
901,23,12.0,10.0,1,3,3.0,D
902,10,-14.0,-14.0,1,3,5.0,D
903,6,-15.0,-28.0,1,4,-5.0,H
904,29,-15.0,4.0,-10,-21,5.0,D
905,11,20.0,-6.0,5,19,-12.0,H
906,11,-1.0,-9.0,2,1,-8.0,A
907,13,16.0,-4.0,4,17,-16.0,H
908,36,-4.0,20.0,-10,-18,9.0,D
909,26,11.0,12.0,2,1,-2.0,A
910,13,13.0,-14.0,8,18,-13.0,H
911,13,10.0,-6.0,6,11,-12.0,H
912,6,18.0,-29.0,10,27,-19.0,H
913,14,-4.0,-8.0,-4,5,-7.0,H
914,30,-14.0,18.0,-6,-16,14.0,H
915,22,2.0,8.0,-3,4,-3.0,A
916,9,-10.0,-15.0,5,2,2.0,H
917,37,-14.0,20.0,-8,-26,10.0,H
918,30,-2.0,4.0,-3,-18,2.0,H
919,14,-8.0,-14.0,2,0,1.0,D
920,14,-32.0,-13.0,-6,-8,7.0,A
921,22,-9.0,-3.0,-1,-9,5.0,A
922,14,3.0,-7.0,0,16,-7.0,H
923,15,14.0,-1.0,3,15,-3.0,A
924,27,-16.0,8.0,-5,-14,9.0,D
925,27,6.0,13.0,-4,-5,5.0,A
926,26,-18.0,1.0,-3,-17,7.0,H
927,34,19.0,15.0,-3,3,1.0,H
928,36,17.0,21.0,-1,-6,3.0,A
929,15,19.0,-1.0,2,22,-8.0,H
930,33,8.0,5.0,-1,-5,-3.0,D
931,15,-9.0,-9.0,3,-1,-3.0,H
932,12,-10.0,-16.0,-3,1,3.0,D
933,30,20.0,13.0,1,3,-4.0,H
934,25,-12.0,7.0,1,-8,3.0,A
935,14,-12.0,-16.0,0,4,3.0,H
936,34,-1.0,14.0,-6,-8,5.0,A
937,30,22.0,15.0,1,9,-4.0,H
938,6,-2.0,-33.0,7,19,-8.0,D
939,17,-9.0,-12.0,-4,-2,6.0,H
940,29,15.0,8.0,7,8,-4.0,D
941,36,-33.0,21.0,-8,-29,16.0,A
942,17,14.0,-6.0,1,13,-11.0,H
943,43,10.0,21.0,-3,-13,5.0,D
944,42,-17.0,23.0,-8,-28,14.0,A
945,14,-1.0,-10.0,5,4,-6.0,H
946,21,7.0,-11.0,-1,5,-8.0,D
947,26,-16.0,-2.0,-3,-13,2.0,H
948,26,5.0,-2.0,5,8,2.0,D
949,14,-12.0,-10.0,2,1,2.0,D
950,26,15.0,-3.0,2,12,-10.0,H
951,44,16.0,21.0,2,-11,2.0,A
952,17,10.0,-16.0,-2,14,-5.0,A
953,17,-21.0,-8.0,-2,-3,-1.0,H
954,22,3.0,-11.0,0,-1,-7.0,H
955,45,8.0,27.0,-5,-16,9.0,H
956,30,-15.0,8.0,5,-14,8.0,A
957,27,-34.0,-2.0,-3,-20,13.0,A
958,37,5.0,21.0,-1,-2,5.0,D
959,29,21.0,8.0,-2,15,-7.0,H
960,24,9.0,5.0,-6,9,-5.0,H
961,41,-14.0,16.0,-8,-26,15.0,A
962,19,26.0,-9.0,7,26,-18.0,H
963,33,-15.0,13.0,0,-13,8.0,A
964,31,-13.0,9.0,4,-9,10.0,A
965,17,-1.0,-19.0,0,13,-8.0,H
966,7,-10.0,-35.0,5,10,-4.0,H
967,16,21.0,-16.0,1,22,-10.0,D
968,36,-4.0,5.0,1,-10,3.0,A
969,19,24.0,-9.0,5,28,-16.0,D
970,22,10.0,-15.0,4,14,-12.0,H
971,24,17.0,4.0,1,20,-9.0,H
972,17,-36.0,-16.0,-7,-10,6.0,A
973,39,15.0,7.0,0,-3,-4.0,H
974,26,27.0,-6.0,8,22,-11.0,H
975,39,-17.0,21.0,-3,-19,9.0,D
976,15,7.0,-15.0,8,17,-7.0,H
977,33,-9.0,0.0,-1,-13,9.0,A
978,34,-20.0,11.0,0,-17,7.0,H
979,44,-10.0,17.0,-5,-25,17.0,A
980,21,1.0,-17.0,6,15,-6.0,D
981,51,-16.0,26.0,-9,-36,14.0,A
982,20,-12.0,-10.0,-5,6,-4.0,D
983,7,9.0,-37.0,3,27,-12.0,H
984,51,-17.0,33.0,-8,-29,17.0,A
985,20,2.0,-18.0,0,4,-4.0,H
986,33,6.0,7.0,-2,6,-1.0,D
987,39,-15.0,16.0,-1,-19,9.0,A
988,39,21.0,12.0,-4,1,-2.0,D
989,36,12.0,1.0,1,3,-1.0,D
990,27,29.0,-12.0,10,27,-9.0,H
991,15,-10.0,-19.0,3,6,-1.0,D
992,20,-17.0,-16.0,-2,2,-1.0,H
993,20,-20.0,-11.0,1,0,-4.0,H
994,22,20.0,-19.0,12,28,-16.0,H
995,40,-39.0,6.0,-6,-33,11.0,D
996,27,17.0,4.0,3,15,-6.0,D
997,37,35.0,11.0,5,17,-7.0,H
998,40,8.0,20.0,6,-4,6.0,H
999,7,-11.0,-39.0,5,13,-1.0,D
1000,43,1.0,17.0,1,-5,2.0,D
1001,23,23.0,-18.0,-3,20,-11.0,H
1002,57,6.0,32.0,-7,-16,6.0,A
1003,53,9.0,21.0,-9,-16,6.0,D
1004,22,-20.0,-10.0,-5,0,2.0,A
1005,57,4.0,37.0,-5,-29,10.0,D
1006,36,-17.0,7.0,-3,-16,4.0,H
1007,41,-19.0,12.0,-9,-25,11.0,H
1008,25,-15.0,-16.0,-7,2,-1.0,D
1009,27,12.0,-15.0,10,14,-6.0,H
1010,38,-8.0,9.0,1,-13,8.0,A
1011,29,-39.0,4.0,-3,-20,9.0,A
1012,22,17.0,-22.0,11,22,-13.0,H
1013,19,-16.0,-18.0,2,7,-4.0,H
1014,23,-21.0,-16.0,-1,0,1.0,H
1015,21,7.0,-13.0,6,16,-9.0,D
1016,44,21.0,23.0,7,10,-2.0,D
1017,41,37.0,4.0,8,17,-8.0,A
1018,39,34.0,1.0,4,21,-4.0,H
1019,60,-13.0,34.0,-11,-39,16.0,D
1020,40,-19.0,8.0,-4,-21,7.0,A
1021,29,24.0,-15.0,-1,18,-9.0,H
1022,58,-18.0,36.0,-8,-30,11.0,A
1023,26,10.0,-19.0,-2,15,-7.0,H
1024,9,-18.0,-42.0,4,14,-6.0,H
1025,25,-1.0,-9.0,1,14,-9.0,H
1026,44,-23.0,14.0,-8,-22,12.0,A
1027,47,5.0,18.0,-6,-3,4.0,A
1028,44,36.0,14.0,5,19,-3.0,D
1029,32,-13.0,7.0,-5,-10,8.0,H
1030,26,-44.0,-20.0,-4,-17,5.0,D
1031,61,-20.0,40.0,-6,-42,16.0,A
1032,26,3.0,-16.0,-1,18,-5.0,D
1033,22,-16.0,-24.0,8,7,-5.0,A
1034,42,-22.0,2.0,-4,-14,5.0,A
1035,58,4.0,25.0,-4,-18,8.0,A
1036,50,-12.0,26.0,-5,-25,12.0,A
1037,44,20.0,11.0,1,6,-3.0,H
1038,40,26.0,4.0,3,10,-6.0,H
1039,19,2.0,-20.0,2,23,-10.0,D
1040,28,30.0,-23.0,12,25,-8.0,H
1041,45,-23.0,3.0,-2,-20,9.0,H
1042,53,-20.0,22.0,-4,-26,10.0,A
1043,40,8.0,0.0,4,-5,1.0,H
1044,65,-16.0,36.0,-4,-38,11.0,D
1045,29,15.0,-17.0,1,19,-7.0,D
1046,10,30.0,-44.0,8,51,-18.0,H
1047,26,9.0,-10.0,1,18,-11.0,H
1048,29,36.0,-17.0,4,36,-10.0,D
1049,64,-44.0,43.0,-7,-54,19.0,A
1050,28,33.0,-21.0,7,28,-14.0,H
1051,49,11.0,15.0,2,-2,2.0,H
1052,64,-21.0,31.0,-7,-37,13.0,A
1053,46,-4.0,3.0,-4,-6,3.0,H
1054,56,-23.0,23.0,-9,-36,12.0,H
1055,35,1.0,7.0,-3,10,-2.0,H
1056,25,-16.0,-15.0,5,3,-2.0,H
1057,28,-12.0,-26.0,5,-2,7.0,D
1058,25,44.0,-15.0,7,42,-15.0,H
1059,64,7.0,31.0,-4,-29,9.0,D
1060,27,13.0,-22.0,4,22,-9.0,A
1061,31,2.0,-15.0,-1,15,-7.0,H
1062,48,-17.0,2.0,-7,-23,7.0,D
1063,43,22.0,-3.0,6,13,-5.0,D
1064,10,-17.0,-50.0,4,21,-7.0,H
1065,23,-26.0,-22.0,-3,6,-5.0,H
1066,27,-22.0,-12.0,0,1,-1.0,H
1067,50,7.0,13.0,-5,-14,3.0,H
1068,67,31.0,36.0,4,-2,-1.0,H
1069,59,46.0,34.0,-3,11,-3.0,H
1070,49,-13.0,2.0,0,-22,10.0,H
1071,67,-17.0,35.0,-3,-41,13.0,A
1072,23,-51.0,-24.0,-3,-13,3.0,D
1073,49,49.0,12.0,10,24,-5.0,H
1074,31,11.0,-17.0,1,19,-6.0,H
1075,49,-21.0,4.0,-1,-18,11.0,D
1076,44,-21.0,-3.0,0,-14,5.0,H
1077,34,32.0,-16.0,8,34,-11.0,H
1078,57,31.0,22.0,2,2,-1.0,H
1079,32,9.0,-24.0,3,7,-1.0,A
1080,62,36.0,32.0,-6,8,-1.0,D
1081,26,8.0,-18.0,1,23,-10.0,H
1082,39,4.0,6.0,1,11,-4.0,D
1083,33,-24.0,-20.0,-2,-9,2.0,A
1084,71,0.0,33.0,-8,-22,7.0,A
1085,32,-21.0,-21.0,-3,3,-6.0,H
1086,30,-19.0,-11.0,-2,1,-5.0,H
1087,11,21.0,-51.0,5,46,-15.0,H
1088,76,-17.0,53.0,-10,-42,12.0,D
1089,53,-4.0,13.0,-5,-9,2.0,A
1090,60,-13.0,22.0,-3,-30,14.0,D
1091,44,-22.0,-5.0,-3,-18,6.0,H
1092,52,-52.0,12.0,-3,-41,14.0,A
1093,38,14.0,-18.0,2,18,-4.0,D
1094,24,-24.0,-26.0,2,8,1.0,A
1095,49,-18.0,-2.0,5,-13,6.0,A
1096,35,6.0,-17.0,-1,5,-2.0,D
1097,51,32.0,4.0,4,12,-3.0,H
1098,71,53.0,36.0,7,6,-2.0,H
1099,34,35.0,-17.0,6,40,-12.0,D
1100,75,22.0,35.0,-6,-14,3.0,A
1101,32,35.0,-26.0,1,39,-15.0,H
1102,80,2.0,54.0,-8,-29,6.0,D
1103,66,-24.0,34.0,-3,-39,13.0,A
1104,29,-17.0,-21.0,2,7,-3.0,A
1105,11,-6.0,-58.0,3,33,-10.0,H
1106,41,-17.0,6.0,1,-6,3.0,D
1107,31,18.0,-13.0,1,24,-13.0,H
1108,57,-1.0,14.0,-3,-5,1.0,H
1109,36,-18.0,-19.0,2,3,-3.0,H
1110,69,-17.0,36.0,-6,-38,15.0,D
1111,81,36.0,54.0,2,-3,1.0,H
1112,27,1.0,-26.0,3,28,-8.0,A
1113,36,-21.0,-18.0,4,0,2.0,H
1114,32,6.0,-20.0,-1,10,-5.0,D
1115,42,-5.0,-16.0,-9,5,-2.0,D
1116,32,-17.0,-28.0,1,4,-4.0,D
1117,58,21.0,22.0,-4,3,-1.0,D
1118,52,12.0,2.0,1,5,1.0,A
1119,74,-59.0,37.0,-6,-63,17.0,A
1120,37,22.0,-17.0,4,22,-8.0,A
1121,11,3.0,-63.0,5,44,-13.0,H
1122,39,-20.0,-20.0,-2,-6,1.0,H
1123,32,-25.0,-17.0,2,-2,-2.0,H
1124,48,53.0,-5.0,4,33,-9.0,H
1125,57,-19.0,11.0,-5,-21,5.0,H
1126,43,-28.0,6.0,-2,-10,7.0,A
1127,62,41.0,21.0,5,15,-2.0,H
1128,55,36.0,0.0,5,15,-5.0,H
1129,81,-16.0,37.0,-2,-38,10.0,A
1130,58,-19.0,5.0,-6,-26,12.0,H
1131,36,39.0,-18.0,3,48,-14.0,D
1132,33,-65.0,-29.0,-1,-22,2.0,A
1133,43,20.0,-18.0,-3,19,-7.0,H
1134,55,-17.0,-1.0,-1,-16,4.0,H
1135,33,9.0,-23.0,-5,24,-9.0,A
1136,80,-22.0,42.0,-4,-41,12.0,A
1137,73,7.0,37.0,-4,-27,7.0,A
1138,59,-8.0,20.0,-6,-11,4.0,D
1139,84,-15.0,56.0,1,-44,13.0,A
1170,4,1.0,1.0,2,2,-6.0,H
1171,4,2.0,0.0,3,3,1.0,H
1172,7,4.0,5.0,-1,-1,7.0,A
1173,4,-2.0,-4.0,0,0,1.0,A
1174,6,-2.0,1.0,-3,-3,-5.0,H
1175,6,-2.0,1.0,-5,-5,11.0,H
1176,3,3.0,-3.0,0,0,-5.0,D
1177,3,-2.0,-3.0,0,0,7.0,A
1178,4,-2.0,1.0,-3,-3,2.0,A
1179,6,-2.0,1.0,-2,-2,8.0,H
1180,9,0.0,7.0,-5,-5,9.0,A
1181,3,3.0,-3.0,7,7,-10.0,D
1182,6,-3.0,0.0,-2,-2,-3.0,H
1183,4,0.0,-3.0,2,2,-9.0,H
1184,5,7.0,0.0,5,5,2.0,D
1185,6,-3.0,-2.0,1,1,12.0,D
1186,6,2.0,-1.0,0,0,-4.0,H
1187,4,-3.0,3.0,-3,-3,-3.0,D
1188,7,-1.0,2.0,-3,-3,14.0,A
1189,7,7.0,-3.0,2,2,-13.0,A
1190,7,3.0,-1.0,3,3,-10.0,H
1191,11,-2.0,3.0,-4,-4,3.0,A
1192,9,-1.0,2.0,-3,-3,-2.0,A
1193,4,2.0,-2.0,4,4,-12.0,H
1194,4,-2.0,-2.0,2,2,-1.0,A
1195,7,-5.0,-5.0,-3,-3,3.0,A
1196,11,-3.0,7.0,-7,-7,9.0,A
1197,2,-7.0,-3.0,4,4,6.0,H
1198,9,3.0,8.0,-4,-4,1.0,H
1199,8,-5.0,2.0,-1,-1,14.0,A
1200,12,-2.0,8.0,-2,-5,12.0,D
1201,6,-1.0,-2.0,1,1,13.0,H
1202,6,4.0,-3.0,5,2,-8.0,A
1203,13,9.0,4.0,1,1,-3.0,H
1204,4,-4.0,-6.0,4,3,-13.0,D
1205,14,7.0,5.0,-2,-5,8.0,A
1206,4,-5.0,-5.0,5,5,2.0,H
1207,11,-5.0,-2.0,-6,-9,-9.0,A
1208,4,3.0,-4.0,8,8,-4.0,A
1209,7,8.0,-4.0,2,5,-1.0,H
1210,12,2.0,-4.0,-2,1,-8.0,D
1211,10,-2.0,-6.0,-2,-3,-2.0,D
1212,8,-2.0,-2.0,-1,-1,-9.0,D
1213,8,6.0,3.0,3,9,-9.0,H
1214,10,8.0,0.0,0,4,-19.0,H
1215,17,-2.0,11.0,-5,-8,16.0,A
1216,12,-1.0,1.0,1,2,8.0,H
1217,2,-6.0,-6.0,-1,2,4.0,H
1218,9,-6.0,6.0,-5,-4,8.0,D
1219,9,-6.0,-2.0,0,1,-4.0,D
1220,15,-6.0,8.0,-6,-7,4.0,D
1221,6,-2.0,-6.0,4,3,-2.0,H
1222,17,-4.0,0.0,-4,-7,3.0,A
1223,20,16.0,7.0,0,0,1.0,A
1224,7,6.0,-5.0,0,3,-2.0,H
1225,8,-4.0,-2.0,8,5,7.0,D
1226,8,-7.0,-2.0,-3,-6,-5.0,H
1227,16,0.0,10.0,-4,-4,5.0,A
1228,14,2.0,2.0,-5,-6,5.0,A
1229,10,-6.0,-4.0,-7,-4,-2.0,H
1230,5,12.0,-5.0,6,14,-4.0,D
1231,12,6.0,-6.0,2,5,-9.0,H
1232,9,-4.0,-6.0,1,-1,8.0,A
1233,8,0.0,-2.0,1,3,-4.0,H
1234,20,3.0,15.0,3,0,14.0,A
1235,14,8.0,-4.0,5,9,-12.0,H
1236,12,10.0,-2.0,7,6,-8.0,H
1237,13,-7.0,9.0,-3,-3,9.0,H
1238,12,-8.0,-1.0,-4,-5,-4.0,H
1239,12,15.0,-1.0,2,8,-13.0,H
1240,11,-5.0,-1.0,0,1,-2.0,H
1241,20,11.0,0.0,1,1,-16.0,H
1242,12,-5.0,-4.0,4,1,10.0,D
1243,8,-5.0,-4.0,5,6,3.0,A
1244,20,-7.0,12.0,-2,-10,8.0,H
1245,26,-5.0,9.0,-11,-20,6.0,H
1246,12,-8.0,-7.0,1,-2,5.0,D
1247,13,-5.0,7.0,0,-5,3.0,H
1248,20,-6.0,7.0,-5,-11,12.0,H
1249,21,12.0,11.0,-5,-1,3.0,H
1250,11,-1.0,-3.0,2,9,4.0,A
1251,11,8.0,-8.0,8,15,-18.0,H
1252,14,-7.0,-6.0,0,-2,2.0,A
1253,15,-4.0,-4.0,-7,-2,4.0,A
1254,13,-3.0,-6.0,-6,-2,-1.0,D
1255,14,5.0,-5.0,-1,6,-13.0,A
1256,26,-7.0,23.0,-9,-13,12.0,A
1257,12,0.0,-4.0,0,2,-11.0,H
1258,9,5.0,-4.0,-3,4,2.0,A
1259,20,11.0,5.0,1,0,-2.0,A
1260,12,-9.0,-8.0,-1,1,-1.0,A
1261,29,-2.0,11.0,-5,-15,11.0,A
1262,12,1.0,-3.0,0,5,-1.0,H
1263,14,15.0,-6.0,0,10,-11.0,H
1264,12,-5.0,-3.0,3,0,7.0,D
1265,29,-11.0,25.0,-11,-18,17.0,A
1266,17,-6.0,-5.0,-4,-4,-5.0,D
1267,17,-2.0,-4.0,2,1,-14.0,D
1268,13,-2.0,4.0,2,7,7.0,D
1269,24,4.0,15.0,-3,-4,5.0,D
1270,13,28.0,-5.0,5,19,-15.0,D
1271,18,13.0,1.0,2,14,-5.0,D
1272,23,4.0,10.0,-3,-9,6.0,H
1273,14,-4.0,-4.0,3,4,6.0,A
1274,21,-5.0,-2.0,1,-3,-3.0,D
1275,11,-11.0,-14.0,6,3,-8.0,H
1276,14,-7.0,-6.0,4,1,7.0,A
1277,13,-4.0,-10.0,8,-1,-7.0,H
1278,19,-3.0,-2.0,-6,-6,6.0,H
1279,18,6.0,1.0,-1,5,-1.0,D
1280,14,-6.0,-5.0,0,4,1.0,D
1281,22,-10.0,-2.0,8,-5,-5.0,D
1282,17,-8.0,-2.0,-6,-2,3.0,A
1283,11,-2.0,-15.0,7,5,-9.0,H
1284,23,28.0,7.0,9,10,-1.0,A
1285,28,7.0,16.0,-6,-11,9.0,A
1286,13,-5.0,-11.0,4,6,-1.0,H
1287,19,-3.0,-3.0,0,-4,3.0,A
1288,17,13.0,-5.0,5,16,-7.0,D
1289,16,7.0,-2.0,-4,7,-7.0,H
1290,34,-12.0,13.0,-7,-21,13.0,A
1291,33,1.0,27.0,2,-13,10.0,A
1292,17,1.0,6.0,5,3,-3.0,D
1293,19,-2.0,-6.0,-3,4,-2.0,H
1294,15,17.0,-11.0,7,16,-15.0,H
1295,18,-5.0,-10.0,-2,-3,6.0,D
1296,25,-2.0,6.0,5,-3,-1.0,A
1297,22,-16.0,-4.0,-7,-11,6.0,D
1298,15,-5.0,-4.0,-3,3,1.0,A
1299,20,6.0,1.0,-7,5,-7.0,H
1300,26,15.0,-1.0,5,11,-15.0,D
1301,22,6.0,-3.0,-2,-4,5.0,A
1302,29,-7.0,9.0,-4,-10,15.0,D
1303,21,-10.0,1.0,-1,-2,5.0,D
1304,12,-12.0,-16.0,2,3,-4.0,H
1305,32,-2.0,17.0,-2,-14,7.0,D
1306,13,-2.0,-14.0,8,6,-4.0,H
1307,18,29.0,-7.0,5,18,-6.0,D
1308,16,-4.0,-5.0,5,7,-4.0,A
1309,19,-14.0,-10.0,-6,-6,3.0,H
1310,23,-3.0,-7.0,0,-3,-1.0,H
1311,20,4.0,-7.0,4,4,-12.0,H
1312,18,-1.0,-8.0,1,9,1.0,A
1313,31,-7.0,9.0,-5,-12,3.0,A
1314,38,9.0,15.0,-2,-8,2.0,D
1315,19,-2.0,-2.0,0,0,10.0,H
1316,18,-20.0,5.0,-4,-6,10.0,H
1317,37,-2.0,29.0,-1,-12,2.0,D
1318,30,9.0,9.0,4,1,2.0,D
1319,12,29.0,-20.0,7,25,-17.0,H
1320,23,15.0,-2.0,-2,16,-11.0,H
1321,27,4.0,-4.0,-2,-9,-7.0,H
1322,26,-10.0,-2.0,-5,-6,14.0,A
1323,19,-8.0,-8.0,0,4,5.0,A
1324,38,-13.0,19.0,-7,-18,11.0,A
1325,16,-5.0,-14.0,3,5,1.0,D
1326,25,-3.0,4.0,0,-6,1.0,D
1327,22,2.0,-1.0,3,3,-7.0,H
1328,23,9.0,-8.0,3,8,-10.0,H
1329,18,-14.0,4.0,-1,-2,5.0,D
1330,28,-5.0,3.0,-6,-5,2.0,A
1331,22,-1.0,-5.0,3,7,-11.0,H
1332,41,4.0,31.0,-1,-15,4.0,D
1333,42,-2.0,18.0,-1,-20,16.0,A
1334,20,-21.0,-3.0,-1,-5,12.0,H
1335,20,-5.0,-14.0,2,2,-3.0,H
1336,20,22.0,-11.0,11,21,-18.0,H
1337,35,-8.0,10.0,-6,-8,11.0,A
1338,23,9.0,-5.0,3,9,-9.0,H
1339,15,10.0,-21.0,7,20,-14.0,H
1340,27,2.0,-9.0,6,5,-12.0,H
1341,22,-12.0,-8.0,-6,-2,3.0,D
1342,25,-6.0,-4.0,0,-3,9.0,D
1343,45,-15.0,22.0,-9,-25,10.0,D
1344,42,23.0,31.0,4,2,-2.0,H
1345,20,4.0,-5.0,7,11,3.0,H
1346,31,23.0,4.0,1,13,-10.0,H
1347,22,-14.0,-6.0,-2,-4,-3.0,H
1348,44,-6.0,23.0,-10,-21,12.0,A
1349,20,31.0,-15.0,7,22,-9.0,H
1350,38,-11.0,11.0,-8,-11,13.0,A
1351,31,9.0,3.0,-5,-6,-1.0,H
1352,41,-8.0,12.0,-5,-18,10.0,A
1353,21,-20.0,-12.0,4,-3,1.0,H
1354,24,-6.0,-12.0,1,-4,-6.0,D
1355,26,-4.0,1.0,3,0,2.0,H
1356,35,22.0,4.0,-4,11,-3.0,D
1357,41,-12.0,12.0,-12,-17,8.0,A
1358,26,-8.0,1.0,3,-3,9.0,H
1359,21,-6.0,-15.0,0,-1,-4.0,H
1360,50,-17.0,29.0,-6,-29,19.0,A
1361,23,-11.0,-8.0,6,-1,2.0,D
