,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
2856,A,33,38,W,W,D,W,W,W,14.0,12.0,12.0,15.0,6.0,10.0,7.0,7.0,2.0,3.0,0.0,0.0,-5,-1,3,9.0,21.0
2857,A,10,25,L,L,W,L,W,L,10.0,8.0,14.0,16.0,7.0,11.0,1.0,9.0,2.0,1.0,0.0,0.0,-15,-4,13,-17.0,2.0
2858,H,39,28,L,W,W,W,D,D,6.0,9.0,17.0,4.0,9.0,3.0,7.0,2.0,2.0,2.0,0.0,0.0,11,-2,-11,18.0,4.0
2859,D,17,33,D,D,L,W,W,W,9.0,6.0,9.0,6.0,6.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,-16,-7,10,-11.0,18.0
2860,D,28,18,W,D,D,L,L,L,7.0,15.0,23.0,8.0,13.0,6.0,3.0,2.0,0.0,4.0,0.0,0.0,10,1,-6,5.0,-24.0
2861,H,36,13,W,W,D,W,D,L,9.0,9.0,30.0,7.0,20.0,4.0,12.0,3.0,0.0,0.0,0.0,0.0,23,6,-14,10.0,-15.0
2862,A,33,21,L,W,W,L,D,L,14.0,6.0,17.0,10.0,10.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,12,3,-4,3.0,-6.0
2863,H,26,25,W,L,L,L,L,L,14.0,7.0,14.0,9.0,8.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,1,-2,-1,0.0,-9.0
2864,A,18,49,W,L,L,W,W,D,13.0,5.0,7.0,14.0,3.0,9.0,1.0,6.0,1.0,1.0,0.0,0.0,-31,-9,17,-13.0,22.0
2865,A,38,10,L,W,W,L,L,L,12.0,8.0,23.0,8.0,11.0,5.0,14.0,2.0,1.0,1.0,0.0,0.0,28,8,-17,20.0,-20.0
