,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
0,D,0,0,M,M,M,M,M,M,14.0,16.0,3.0,13.0,2.0,6.0,7.0,8.0,0.0,2.0,0.0,0.0,0,0,8,0.0,0.0
1,A,0,0,M,M,M,M,M,M,15.0,14.0,10.0,12.0,5.0,5.0,8.0,6.0,3.0,1.0,0.0,0.0,0,0,9,0.0,0.0
2,D,0,0,M,M,M,M,M,M,12.0,13.0,15.0,7.0,7.0,4.0,6.0,6.0,1.0,2.0,0.0,0.0,0,0,-6,0.0,0.0
3,D,0,0,M,M,M,M,M,M,13.0,11.0,15.0,13.0,8.0,3.0,3.0,6.0,2.0,3.0,0.0,0.0,0,0,-4,0.0,0.0
4,D,0,0,M,M,M,M,M,M,17.0,11.0,4.0,16.0,2.0,7.0,5.0,0.0,2.0,3.0,1.0,0.0,0,0,11,0.0,0.0
5,A,0,0,M,M,M,M,M,M,13.0,23.0,11.0,11.0,7.0,6.0,7.0,2.0,0.0,2.0,0.0,0.0,0,0,12,0.0,0.0
6,A,0,0,M,M,M,M,M,M,15.0,17.0,12.0,14.0,8.0,4.0,5.0,5.0,2.0,0.0,0.0,1.0,0,0,7,0.0,0.0
7,H,0,0,M,M,M,M,M,M,11.0,14.0,13.0,11.0,5.0,5.0,2.0,6.0,0.0,1.0,0.0,1.0,0,0,3,0.0,0.0
8,H,0,0,M,M,M,M,M,M,15.0,17.0,15.0,2.0,12.0,1.0,8.0,3.0,0.0,1.0,0.0,1.0,0,0,-3,0.0,0.0
9,A,0,0,M,M,M,M,M,M,14.0,7.0,12.0,20.0,5.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,0,0,9,0.0,0.0
10,A,1,1,D,M,M,D,M,M,7.0,12.0,9.0,9.0,2.0,6.0,9.0,4.0,3.0,1.0,0.0,0.0,0,0,3,0.0,0.0
11,H,0,1,L,M,M,D,M,M,26.0,14.0,16.0,8.0,9.0,4.0,8.0,1.0,2.0,2.0,0.0,0.0,-1,-1,-6,-2.0,0.0
12,H,3,0,W,M,M,L,M,M,10.0,11.0,21.0,4.0,10.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,3,3,3,2.0,-1.0
13,H,1,0,D,M,M,L,M,M,8.0,20.0,15.0,2.0,6.0,0.0,5.0,5.0,2.0,3.0,0.0,1.0,1,1,-17,0.0,-2.0
14,H,3,1,W,M,M,D,M,M,13.0,21.0,18.0,3.0,12.0,3.0,11.0,7.0,2.0,1.0,0.0,0.0,2,2,-14,2.0,0.0
15,D,0,3,L,M,M,W,M,M,9.0,11.0,14.0,6.0,6.0,1.0,10.0,2.0,1.0,1.0,0.0,1.0,-3,-3,-2,-2.0,2.0
16,H,3,1,W,M,M,D,M,M,16.0,10.0,18.0,12.0,8.0,3.0,5.0,6.0,3.0,1.0,0.0,0.0,2,2,-9,2.0,0.0
17,H,1,0,D,M,M,L,M,M,21.0,19.0,6.0,10.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0,0.0,1,1,2,0.0,-2.0
18,A,1,0,D,M,M,L,M,M,10.0,13.0,16.0,3.0,6.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,1,1,-3,0.0,-2.0
19,H,3,3,W,M,M,W,M,M,17.0,21.0,9.0,9.0,6.0,3.0,3.0,7.0,2.0,3.0,0.0,0.0,0,0,-3,1.0,2.0
20,A,1,1,L,D,M,L,D,M,14.0,15.0,14.0,8.0,8.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,0,4,-1.0,-2.0
21,D,0,1,L,L,M,L,D,M,12.0,10.0,20.0,7.0,11.0,3.0,13.0,4.0,3.0,1.0,0.0,1.0,-1,-1,1,-3.0,-1.0
22,A,0,4,L,L,M,W,D,M,10.0,10.0,15.0,12.0,10.0,7.0,5.0,3.0,1.0,2.0,0.0,0.0,-4,-4,5,-3.0,1.0
23,H,3,1,L,W,M,L,D,M,16.0,11.0,20.0,8.0,14.0,3.0,6.0,7.0,5.0,2.0,0.0,0.0,2,2,-8,1.0,-1.0
24,D,3,6,W,L,M,W,W,M,15.0,12.0,11.0,1.0,7.0,1.0,7.0,0.0,2.0,2.0,1.0,0.0,-3,-3,1,-1.0,4.0
25,H,1,1,L,D,M,D,L,M,12.0,17.0,14.0,7.0,6.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0,1,-1.0,-2.0
26,H,6,4,W,W,M,W,D,M,10.0,7.0,11.0,0.0,8.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,2,2,-18,2.0,1.0
27,H,1,3,L,D,M,W,L,M,13.0,16.0,10.0,9.0,3.0,2.0,4.0,11.0,2.0,2.0,0.0,0.0,-2,-2,10,-1.0,-1.0
28,H,1,3,L,D,M,W,L,M,19.0,25.0,9.0,6.0,4.0,2.0,6.0,2.0,1.0,2.0,0.0,1.0,-2,-2,1,-1.0,-1.0
29,H,4,0,W,D,M,L,L,M,13.0,17.0,16.0,7.0,9.0,2.0,12.0,3.0,1.0,2.0,0.0,0.0,4,4,-2,1.0,-3.0
30,A,7,9,D,W,W,W,W,W,16.0,12.0,11.0,13.0,6.0,7.0,2.0,5.0,3.0,2.0,1.0,0.0,-2,-2,4,4.0,6.0
31,A,4,1,L,W,D,L,L,D,11.0,24.0,15.0,8.0,8.0,7.0,3.0,2.0,1.0,3.0,0.0,0.0,3,3,1,-3.0,-4.0
32,A,4,4,L,D,W,W,L,D,13.0,16.0,13.0,10.0,6.0,6.0,7.0,7.0,1.0,4.0,0.0,0.0,0,0,1,1.0,1.0
33,H,3,0,W,L,L,L,L,L,11.0,13.0,11.0,9.0,5.0,7.0,0.0,6.0,3.0,3.0,0.0,0.0,3,3,-10,-1.0,-4.0
34,A,4,9,W,L,D,W,W,W,18.0,15.0,10.0,12.0,6.0,8.0,6.0,1.0,2.0,1.0,0.0,0.0,-5,-5,1,1.0,6.0
35,A,1,9,L,D,L,W,W,W,26.0,16.0,9.0,11.0,4.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,-8,-8,5,-4.0,5.0
36,A,1,9,L,L,D,W,W,W,9.0,10.0,18.0,8.0,5.0,4.0,13.0,4.0,0.0,2.0,0.0,0.0,-8,-8,5,-4.0,6.0
37,H,9,0,W,W,W,L,L,L,14.0,10.0,9.0,2.0,6.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,9,9,-19,6.0,-4.0
38,A,3,1,L,W,L,D,L,L,10.0,12.0,11.0,12.0,6.0,8.0,11.0,6.0,2.0,1.0,0.0,0.0,2,2,-6,-2.0,-3.0
39,D,9,7,W,W,W,W,W,D,12.0,18.0,7.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,0.0,0.0,2,2,-13,5.0,2.0
40,H,4,6,L,W,L,L,W,L,17.0,16.0,6.0,13.0,5.0,8.0,6.0,7.0,3.0,4.0,0.0,0.0,-2,-2,10,-2.0,3.0
41,D,1,4,L,L,D,W,L,L,19.0,16.0,15.0,13.0,10.0,8.0,10.0,8.0,4.0,1.0,1.0,0.0,-3,-3,-5,-6.0,-3.0
42,D,7,6,L,D,W,D,D,W,16.0,13.0,10.0,11.0,7.0,6.0,4.0,4.0,1.0,1.0,0.0,0.0,1,1,2,2.0,1.0
43,A,4,6,L,L,W,W,W,L,19.0,15.0,10.0,9.0,5.0,4.0,5.0,0.0,3.0,1.0,0.0,0.0,-2,-2,9,-4.0,0.0
44,D,7,4,W,W,L,L,D,W,18.0,17.0,12.0,7.0,6.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,3,3,2,2.0,-2.0
45,H,7,5,W,L,D,W,D,L,15.0,12.0,14.0,14.0,9.0,8.0,4.0,11.0,0.0,1.0,0.0,0.0,2,2,-7,5.0,0.0
46,D,5,7,W,D,L,L,D,W,14.0,14.0,13.0,13.0,6.0,7.0,4.0,3.0,1.0,2.0,0.0,0.0,-2,-2,11,0.0,2.0
47,A,12,12,W,W,W,W,W,W,11.0,10.0,11.0,16.0,4.0,11.0,2.0,7.0,0.0,2.0,0.0,0.0,0,0,12,7.0,8.0
48,A,4,7,W,L,L,W,L,D,11.0,14.0,9.0,10.0,6.0,3.0,4.0,6.0,2.0,1.0,0.0,0.0,-3,-3,3,-3.0,5.0
49,D,1,4,L,D,L,W,L,L,16.0,14.0,14.0,3.0,9.0,2.0,7.0,3.0,2.0,0.0,0.0,1.0,-3,-3,-1,-4.0,-3.0
50,D,0,4,L,L,L,L,L,L,19.0,11.0,11.0,13.0,6.0,6.0,1.0,9.0,0.0,3.0,0.0,0.0,-4,-4,1,-7.0,-5.0
51,A,5,2,D,L,D,D,L,L,14.0,19.0,17.0,4.0,10.0,3.0,7.0,2.0,1.0,5.0,0.0,1.0,3,3,-1,-2.0,-6.0
52,D,7,11,D,D,D,D,D,W,24.0,15.0,9.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,-4,-4,1,1.0,5.0
53,A,11,8,D,W,W,D,W,W,14.0,16.0,17.0,5.0,8.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,3,3,7,3.0,2.0
54,D,7,7,D,W,W,W,L,W,11.0,16.0,11.0,10.0,4.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,0,0,-4,0.0,-1.0
55,H,9,3,W,L,W,L,L,L,13.0,19.0,11.0,4.0,4.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,6,6,-7,5.0,-5.0
56,D,4,7,L,W,L,D,D,D,14.0,14.0,4.0,14.0,4.0,6.0,3.0,7.0,2.0,3.0,1.0,0.0,-3,-3,15,-4.0,1.0
57,H,8,4,D,W,W,W,L,D,9.0,6.0,11.0,6.0,2.0,4.0,7.0,3.0,2.0,2.0,0.0,0.0,4,4,-9,2.0,-3.0
58,H,15,5,W,W,W,L,W,D,8.0,17.0,18.0,3.0,6.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,10,10,-15,10.0,-4.0
59,A,3,7,L,L,L,D,W,W,17.0,21.0,14.0,11.0,7.0,3.0,11.0,3.0,2.0,1.0,0.0,0.0,-4,-4,1,-5.0,0.0
60,A,11,5,L,D,D,L,D,L,13.0,15.0,27.0,10.0,8.0,10.0,7.0,1.0,1.0,3.0,0.0,0.0,6,3,-4,4.0,-5.0
61,H,5,11,W,D,L,L,D,W,14.0,14.0,8.0,8.0,6.0,4.0,3.0,6.0,0.0,2.0,0.0,0.0,-6,-5,-8,-3.0,2.0
62,A,5,15,D,L,L,W,L,W,10.0,12.0,18.0,8.0,10.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,-10,-8,6,-5.0,6.0
63,D,11,10,D,W,W,D,W,L,11.0,7.0,6.0,8.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,1,1,5,6.0,5.0
64,A,8,1,D,W,L,D,L,L,13.0,21.0,20.0,4.0,11.0,2.0,8.0,2.0,3.0,2.0,0.0,0.0,7,6,-6,-1.0,-7.0
65,H,9,5,D,D,L,L,D,W,10.0,9.0,9.0,8.0,4.0,5.0,6.0,6.0,0.0,3.0,0.0,0.0,4,2,-7,2.0,-4.0
66,H,5,5,L,D,L,D,L,L,15.0,17.0,20.0,6.0,11.0,3.0,11.0,1.0,2.0,0.0,0.0,0.0,0,1,-13,-5.0,-5.0
67,A,15,9,W,L,W,D,D,L,15.0,17.0,9.0,13.0,4.0,7.0,1.0,6.0,3.0,2.0,0.0,0.0,6,6,8,6.0,2.0
68,A,5,11,L,D,W,L,D,D,20.0,11.0,11.0,11.0,6.0,7.0,3.0,9.0,2.0,1.0,0.0,0.0,-6,-4,10,-4.0,4.0
69,D,5,5,D,W,L,W,D,L,12.0,12.0,10.0,6.0,6.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,0,0,10,-3.0,-3.0
70,D,4,12,W,D,L,D,D,W,12.0,15.0,16.0,6.0,8.0,3.0,5.0,3.0,1.0,5.0,0.0,0.0,-8,-4,11,-5.0,6.0
71,H,13,6,W,D,W,D,D,L,13.0,17.0,16.0,2.0,13.0,2.0,11.0,4.0,0.0,1.0,0.0,1.0,7,5,-14,6.0,-4.0
72,A,6,8,L,D,L,L,D,W,17.0,10.0,13.0,13.0,6.0,10.0,6.0,5.0,4.0,1.0,0.0,0.0,-2,-2,2,-5.0,-3.0
73,A,10,21,W,L,D,W,W,W,15.0,17.0,11.0,7.0,5.0,5.0,4.0,2.0,1.0,3.0,0.0,0.0,-11,-9,2,-1.0,13.0
74,H,11,3,L,L,D,L,L,L,16.0,10.0,14.0,5.0,5.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,8,7,4,1.0,-8.0
75,H,13,14,W,W,D,W,W,D,11.0,14.0,16.0,13.0,9.0,4.0,4.0,8.0,0.0,2.0,0.0,0.0,-1,0,2,2.0,4.0
76,H,21,14,W,W,W,W,W,D,10.0,17.0,17.0,4.0,8.0,2.0,5.0,3.0,2.0,2.0,0.0,1.0,7,2,-7,13.0,4.0
77,H,10,8,W,L,D,W,L,D,8.0,22.0,19.0,4.0,5.0,1.0,9.0,2.0,0.0,3.0,0.0,1.0,2,1,-3,-1.0,-4.0
78,D,8,5,L,D,W,L,D,W,12.0,12.0,14.0,9.0,7.0,4.0,6.0,3.0,2.0,3.0,0.0,0.0,3,2,-3,-3.0,-4.0
79,A,4,14,W,D,L,W,L,D,12.0,10.0,11.0,15.0,6.0,9.0,4.0,5.0,3.0,1.0,0.0,0.0,-10,-4,18,-5.0,5.0
80,H,15,3,W,W,D,L,L,L,13.0,9.0,7.0,8.0,5.0,4.0,5.0,8.0,0.0,2.0,0.0,0.0,12,8,-6,4.0,-10.0
81,H,5,13,L,L,D,L,W,D,23.0,10.0,5.0,14.0,4.0,10.0,3.0,6.0,1.0,2.0,0.0,0.0,-8,-6,15,-8.0,5.0
82,H,16,9,W,W,W,D,W,W,15.0,20.0,12.0,11.0,6.0,7.0,6.0,5.0,2.0,3.0,1.0,0.0,7,5,3,3.0,-2.0
83,A,6,6,L,D,D,L,L,D,13.0,19.0,8.0,4.0,5.0,1.0,11.0,5.0,2.0,2.0,0.0,0.0,0,1,2,-5.0,-6.0
84,H,14,12,W,L,L,L,D,D,11.0,13.0,22.0,6.0,17.0,3.0,9.0,3.0,2.0,0.0,0.0,0.0,2,-1,6,3.0,5.0
85,D,16,5,D,L,W,L,L,L,19.0,19.0,14.0,13.0,3.0,1.0,6.0,1.0,2.0,3.0,0.0,0.0,11,3,1,5.0,-6.0
86,H,13,14,L,W,D,W,L,L,24.0,17.0,4.0,7.0,2.0,4.0,4.0,3.0,3.0,5.0,0.0,0.0,-1,0,-11,5.0,3.0
87,A,6,16,L,L,D,W,W,W,12.0,13.0,16.0,6.0,5.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,-10,-9,6,-6.0,3.0
88,H,11,6,W,W,L,L,D,D,22.0,17.0,11.0,3.0,5.0,2.0,3.0,9.0,0.0,3.0,0.0,0.0,5,2,-12,-2.0,-5.0
89,H,5,10,L,L,L,L,W,L,9.0,14.0,6.0,14.0,3.0,6.0,3.0,8.0,0.0,2.0,0.0,0.0,-5,-1,9,-6.0,-3.0
90,D,18,18,D,W,W,W,W,W,15.0,12.0,13.0,9.0,9.0,7.0,7.0,8.0,2.0,3.0,0.0,0.0,0,-3,-3,7.0,6.0
91,A,7,19,D,D,L,W,D,L,10.0,15.0,15.0,11.0,6.0,7.0,6.0,5.0,2.0,3.0,0.0,0.0,-12,-1,4,-4.0,6.0
92,H,14,8,L,L,W,W,L,L,13.0,16.0,19.0,2.0,12.0,1.0,10.0,1.0,2.0,2.0,0.0,0.0,6,3,-11,-1.0,-7.0
93,D,4,27,D,L,L,W,W,W,14.0,14.0,4.0,24.0,4.0,12.0,3.0,11.0,2.0,2.0,0.0,0.0,-23,-14,10,-10.0,20.0
94,H,9,5,L,D,W,L,D,W,12.0,13.0,12.0,10.0,9.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,4,3,-13,-3.0,-7.0
95,H,15,12,W,L,D,D,W,L,11.0,9.0,15.0,19.0,8.0,9.0,4.0,7.0,1.0,2.0,0.0,0.0,3,0,-5,6.0,-2.0
96,A,6,4,L,L,D,D,L,L,11.0,15.0,18.0,11.0,8.0,6.0,8.0,6.0,0.0,1.0,0.0,0.0,2,1,7,-6.0,-10.0
97,A,19,14,W,D,L,L,L,W,11.0,13.0,7.0,11.0,4.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,5,0,5,6.0,-1.0
98,H,27,11,W,W,W,L,W,W,12.0,19.0,19.0,6.0,10.0,4.0,5.0,2.0,1.0,5.0,0.0,0.0,16,8,-5,20.0,-3.0
99,H,13,15,W,L,W,W,L,D,15.0,13.0,17.0,4.0,9.0,2.0,10.0,5.0,2.0,0.0,0.0,0.0,-2,-1,-6,-1.0,6.0
100,H,12,18,L,D,W,L,D,W,14.0,22.0,7.0,13.0,4.0,8.0,2.0,6.0,1.0,4.0,0.0,0.0,-6,-2,12,-3.0,4.0
101,A,5,7,L,L,D,L,D,D,11.0,9.0,5.0,5.0,2.0,5.0,11.0,2.0,0.0,1.0,0.0,0.0,-2,2,3,-8.0,-5.0
102,D,19,17,D,W,W,D,W,L,18.0,13.0,11.0,10.0,3.0,7.0,6.0,1.0,4.0,2.0,0.0,0.0,2,3,1,6.0,6.0
103,H,22,9,W,W,W,W,D,L,11.0,7.0,12.0,7.0,6.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,13,11,-2,6.0,-4.0
104,A,8,12,L,W,L,W,L,D,9.0,14.0,8.0,11.0,4.0,8.0,9.0,4.0,0.0,1.0,0.0,0.0,-4,-6,12,-9.0,-2.0
105,H,17,9,L,W,W,L,W,L,17.0,10.0,13.0,11.0,5.0,5.0,2.0,6.0,1.0,1.0,0.0,0.0,8,2,-1,3.0,-7.0
106,H,17,5,D,W,L,L,L,D,11.0,13.0,12.0,1.0,9.0,1.0,4.0,6.0,0.0,1.0,0.0,0.0,12,3,-16,6.0,-8.0
107,A,9,16,L,W,L,W,W,L,16.0,11.0,6.0,10.0,2.0,6.0,3.0,5.0,2.0,2.0,0.0,0.0,-7,-5,13,-7.0,1.0
108,H,14,19,W,L,W,L,W,D,9.0,15.0,9.0,10.0,3.0,9.0,7.0,9.0,0.0,2.0,0.0,0.0,-5,2,-7,-1.0,5.0
109,H,9,17,W,D,L,L,W,W,10.0,16.0,9.0,4.0,5.0,2.0,4.0,2.0,1.0,3.0,0.0,0.0,-8,-2,-3,-4.0,3.0
110,H,15,6,W,W,L,L,L,L,20.0,18.0,10.0,9.0,5.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,9,9,-11,1.0,-9.0
111,A,10,25,W,L,D,W,W,W,11.0,13.0,7.0,7.0,4.0,5.0,5.0,8.0,1.0,2.0,0.0,0.0,-15,-10,7,-2.0,8.0
112,H,18,8,W,L,W,L,L,W,15.0,12.0,10.0,10.0,6.0,6.0,8.0,5.0,2.0,0.0,0.0,0.0,10,4,-10,5.0,-12.0
113,H,10,15,W,W,D,W,L,D,21.0,16.0,12.0,17.0,8.0,9.0,9.0,3.0,2.0,1.0,0.0,0.0,-5,0,-3,-8.0,0.0
114,H,21,31,W,L,D,W,D,W,19.0,14.0,10.0,21.0,5.0,11.0,5.0,9.0,3.0,4.0,0.0,0.0,-10,-3,1,5.0,22.0
115,H,20,20,W,W,L,D,D,W,13.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,0.0,1.0,0.0,0.0,0,-2,3,2.0,6.0
116,A,19,21,L,L,W,W,L,D,13.0,11.0,18.0,13.0,11.0,7.0,4.0,3.0,0.0,2.0,0.0,0.0,-2,-6,11,2.0,5.0
117,H,31,15,W,D,W,W,W,L,12.0,13.0,12.0,3.0,4.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,16,3,-6,22.0,1.0
118,H,19,10,W,W,W,W,L,D,7.0,8.0,15.0,7.0,11.0,5.0,7.0,6.0,1.0,1.0,0.0,0.0,9,7,-14,4.0,-2.0
119,D,20,14,W,L,W,L,W,L,7.0,15.0,12.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,6,0,9,5.0,-3.0
120,A,5,9,L,L,L,L,L,L,10.0,13.0,8.0,16.0,6.0,11.0,6.0,5.0,2.0,1.0,0.0,0.0,-4,-2,4,-13.0,-11.0
121,H,8,10,L,L,L,L,W,W,11.0,9.0,11.0,11.0,8.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,-2,-4,8,-13.0,-12.0
122,A,25,23,L,W,W,W,W,D,16.0,17.0,11.0,13.0,5.0,8.0,2.0,2.0,3.0,3.0,0.0,0.0,2,2,6,7.0,9.0
123,H,15,12,L,W,L,W,L,W,9.0,16.0,20.0,9.0,11.0,6.0,9.0,4.0,0.0,1.0,0.0,0.0,3,0,2,-1.0,-4.0
124,D,20,19,L,D,D,D,W,L,16.0,13.0,15.0,8.0,8.0,4.0,9.0,7.0,3.0,1.0,0.0,0.0,1,1,-4,5.0,5.0
125,H,23,17,W,W,D,W,L,W,9.0,15.0,13.0,15.0,10.0,9.0,9.0,10.0,1.0,2.0,0.0,0.0,6,1,-2,9.0,0.0
126,H,9,19,L,L,L,L,L,L,9.0,12.0,16.0,5.0,10.0,3.0,10.0,3.0,2.0,2.0,0.0,0.0,-10,-1,3,-11.0,0.0
127,A,20,22,L,W,L,W,W,W,13.0,13.0,3.0,8.0,1.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,-2,-3,12,4.0,5.0
128,A,10,31,L,W,L,L,W,D,22.0,7.0,6.0,12.0,2.0,6.0,2.0,1.0,5.0,1.0,0.0,0.0,-21,-5,16,-4.0,21.0
129,A,5,6,L,L,L,L,L,L,7.0,10.0,4.0,10.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,-1,1,2,-13.0,-10.0
130,A,25,21,L,L,W,D,L,D,14.0,17.0,11.0,7.0,3.0,5.0,6.0,5.0,0.0,2.0,0.0,0.0,4,3,5,6.0,5.0
131,H,13,18,W,L,W,L,W,W,19.0,19.0,14.0,16.0,9.0,10.0,12.0,8.0,1.0,5.0,0.0,0.0,-5,1,4,-11.0,-1.0
132,H,12,23,L,W,L,L,W,W,17.0,18.0,10.0,5.0,7.0,3.0,3.0,6.0,2.0,7.0,0.0,0.0,-11,-2,4,-5.0,2.0
133,D,18,11,W,L,W,W,L,L,15.0,13.0,13.0,9.0,8.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,7,1,-5,0.0,-9.0
134,A,19,27,L,D,W,W,W,W,15.0,7.0,10.0,16.0,3.0,10.0,4.0,5.0,2.0,3.0,0.0,0.0,-8,-3,7,4.0,8.0
135,A,5,25,L,L,L,W,W,W,15.0,10.0,8.0,15.0,4.0,11.0,3.0,3.0,0.0,2.0,0.0,1.0,-20,-15,17,-15.0,7.0
136,A,18,13,D,W,L,W,L,W,8.0,18.0,15.0,8.0,7.0,5.0,7.0,5.0,1.0,1.0,1.0,0.0,5,-3,-5,0.0,-11.0
137,H,23,26,L,W,W,W,W,W,16.0,15.0,10.0,8.0,9.0,3.0,9.0,3.0,1.0,2.0,0.0,0.0,-3,-4,4,2.0,12.0
138,H,34,18,W,L,W,W,L,W,15.0,14.0,17.0,10.0,9.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,16,3,-13,24.0,0.0
139,H,25,25,W,W,W,L,L,W,16.0,15.0,16.0,10.0,12.0,6.0,11.0,6.0,1.0,2.0,0.0,0.0,0,6,-7,7.0,6.0
140,H,30,10,W,W,W,L,L,L,9.0,16.0,19.0,8.0,12.0,4.0,11.0,4.0,0.0,1.0,0.0,0.0,20,9,-15,11.0,-9.0
141,D,18,15,L,L,W,W,W,L,17.0,15.0,8.0,9.0,2.0,6.0,6.0,4.0,1.0,2.0,0.0,0.0,3,3,-9,-2.0,-8.0
142,H,24,5,W,D,L,L,L,L,8.0,19.0,14.0,5.0,8.0,2.0,12.0,0.0,0.0,2.0,0.0,0.0,19,6,-15,6.0,-16.0
143,D,12,15,D,W,L,W,L,W,8.0,15.0,5.0,8.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,-3,-5,7,-9.0,-4.0
144,A,19,21,L,L,L,L,D,L,20.0,14.0,10.0,17.0,4.0,9.0,8.0,4.0,2.0,3.0,0.0,0.0,-2,-4,-2,-4.0,3.0
145,A,9,22,L,W,L,W,L,D,12.0,5.0,14.0,10.0,6.0,4.0,11.0,8.0,1.0,1.0,0.0,0.0,-13,-4,9,-10.0,5.0
146,H,9,15,L,W,L,W,L,W,12.0,10.0,11.0,7.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,-6,-6,6,-10.0,-4.0
147,H,18,22,L,D,W,W,L,D,13.0,14.0,14.0,6.0,5.0,3.0,4.0,1.0,3.0,6.0,0.0,0.0,-4,0,-3,-3.0,5.0
148,D,26,15,W,L,W,W,W,L,16.0,22.0,13.0,6.0,7.0,3.0,6.0,3.0,2.0,4.0,0.0,0.0,11,6,-8,4.0,-8.0
149,H,19,5,L,L,L,L,L,L,11.0,16.0,14.0,14.0,8.0,6.0,3.0,6.0,0.0,2.0,0.0,0.0,14,0,-7,-4.0,-16.0
150,H,40,25,W,W,W,L,L,L,16.0,10.0,11.0,4.0,8.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,15,9,-9,27.0,2.0
151,H,31,19,W,W,W,L,D,W,10.0,18.0,23.0,6.0,13.0,3.0,11.0,2.0,1.0,2.0,0.0,1.0,12,8,-11,12.0,-1.0
152,H,19,26,D,L,L,L,L,W,23.0,13.0,8.0,6.0,4.0,3.0,5.0,4.0,2.0,1.0,0.0,1.0,-7,-2,3,-2.0,9.0
153,H,13,24,D,D,W,W,L,D,17.0,13.0,11.0,8.0,4.0,2.0,4.0,6.0,1.0,4.0,0.0,1.0,-11,-2,4,-9.0,6.0
154,D,31,17,D,W,W,D,W,W,12.0,11.0,21.0,7.0,12.0,5.0,9.0,0.0,1.0,2.0,0.0,0.0,14,3,-9,11.0,-9.0
155,H,27,10,W,W,D,L,L,L,6.0,19.0,16.0,8.0,9.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,17,5,-12,7.0,-12.0
156,A,17,22,D,W,W,L,W,L,10.0,11.0,12.0,7.0,3.0,2.0,4.0,9.0,2.0,1.0,0.0,0.0,-5,3,2,-9.0,4.0
157,H,31,25,D,W,W,L,L,L,12.0,6.0,12.0,15.0,9.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,6,10,-8,11.0,2.0
158,A,16,31,D,W,W,D,W,W,19.0,16.0,11.0,17.0,7.0,10.0,2.0,6.0,1.0,0.0,0.0,0.0,-15,-6,14,-8.0,11.0
159,A,17,27,D,W,W,D,W,L,13.0,15.0,13.0,7.0,10.0,5.0,10.0,0.0,2.0,2.0,0.0,0.0,-10,0,3,-9.0,4.0
160,H,16,21,L,D,W,W,L,L,12.0,13.0,8.0,10.0,5.0,4.0,8.0,12.0,4.0,4.0,0.0,0.0,-5,0,6,-5.0,-4.0
161,H,24,12,L,W,L,L,W,L,19.0,12.0,17.0,6.0,9.0,2.0,7.0,5.0,2.0,2.0,0.0,1.0,12,-2,-3,4.0,-12.0
162,H,10,16,L,L,L,W,D,D,15.0,7.0,5.0,4.0,4.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,-6,-8,-2,-14.0,-7.0
163,A,25,22,W,L,W,W,D,L,9.0,16.0,11.0,10.0,7.0,7.0,3.0,2.0,3.0,3.0,0.0,0.0,3,0,2,5.0,-1.0
164,H,25,22,L,L,L,L,W,L,8.0,8.0,18.0,5.0,12.0,2.0,12.0,3.0,0.0,1.0,0.0,0.0,3,-3,-3,-2.0,-5.0
