,Unnamed: 0,HomeTeam,AwayTeam,FTR
190,190,Man United,Wolves,A
191,191,Southampton,Brentford,D
192,192,West Ham,Norwich,H
193,193,Brighton,Crystal Palace,H
194,194,Man City,Chelsea,H
195,195,Newcastle,Watford,A
196,196,Norwich,Everton,A
197,197,Wolves,Southampton,A
198,198,Aston Villa,Man United,A
199,199,Liverpool,Brentford,H
200,200,West Ham,Leeds,H
201,201,Brighton,Chelsea,A
202,202,Leicester,Tottenham,A
203,203,Brentford,Man United,D
204,204,Watford,Norwich,A
205,205,Everton,Aston Villa,D
206,206,Brentford,Wolves,D
207,207,Leeds,Newcastle,D
208,208,Man United,West Ham,H
209,209,Southampton,Man City,A
210,210,Arsenal,Burnley,H
211,211,Crystal Palace,Liverpool,A
212,212,Leicester,Brighton,A
213,213,Chelsea,Tottenham,H
214,214,Burnley,Watford,D
215,215,Newcastle,Everton,H
216,216,West Ham,Watford,H
217,217,Burnley,Man United,A
218,218,Man City,Brentford,H
219,219,Norwich,Crystal Palace,A
220,220,Tottenham,Southampton,A
221,221,Aston Villa,Leeds,A
222,222,Liverpool,Leicester,H
223,223,Wolves,Arsenal,H
224,224,Man United,Southampton,H
225,225,Brentford,Crystal Palace,D
226,226,Everton,Leeds,H
227,227,Watford,Brighton,A
228,228,Norwich,Man City,A
229,229,Burnley,Liverpool,A
230,230,Newcastle,Aston Villa,D
231,231,Tottenham,Wolves,D
232,232,Leicester,West Ham,A
233,233,Man United,Brighton,H
234,234,West Ham,Newcastle,H
235,235,Arsenal,Brentford,H
236,236,Aston Villa,Watford,H
237,237,Brighton,Burnley,D
238,238,Crystal Palace,Chelsea,A
239,239,Liverpool,Norwich,H
240,240,Southampton,Everton,H
241,241,Man City,Tottenham,H
242,242,Leeds,Man United,A
243,243,Wolves,Leicester,D
244,244,Burnley,Tottenham,D
245,245,Watford,Crystal Palace,A
246,246,Liverpool,Leeds,H
247,247,Arsenal,Wolves,H
248,248,Southampton,Norwich,H
249,249,Leeds,Tottenham,A
250,250,Brentford,Newcastle,A
251,251,Crystal Palace,Burnley,D
252,252,Man United,Watford,H
253,253,Brighton,Aston Villa,D
254,254,Everton,Man City,A
255,255,West Ham,Wolves,H
256,256,Burnley,Leicester,A
257,257,Leicester,Leeds,D
258,258,Aston Villa,Southampton,H
