,HomeTeam,AwayTeam,FTR
218,Man City,Brentford,H
219,Norwich,Crystal Palace,A
220,Tottenham,Southampton,H
221,Aston Villa,Leeds,H
222,Liverpool,Leicester,H
223,Wolves,Arsenal,H
224,Man United,Southampton,H
225,Brentford,Crystal Palace,H
226,Everton,Leeds,H
227,Watford,Brighton,A
228,Norwich,Man City,A
229,Burnley,Liverpool,A
230,Newcastle,Aston Villa,H
231,Tottenham,Wolves,H
232,Leicester,West Ham,A
233,Man United,Brighton,H
234,West Ham,Newcastle,H
235,Arsenal,Brentford,H
236,Aston Villa,Watford,H
237,Brighton,Burnley,D
238,Crystal Palace,Chelsea,A
239,Liverpool,Norwich,H
240,Southampton,Everton,H
241,Man City,Tottenham,H
242,Leeds,Man United,A
243,Wolves,Leicester,H
244,Burnley,Tottenham,A
245,Watford,Crystal Palace,A
246,Liverpool,Leeds,H
247,Arsenal,Wolves,A
248,Southampton,Norwich,H
249,Leeds,Tottenham,A
250,Brentford,Newcastle,A
251,Crystal Palace,Burnley,H
252,Man United,Watford,H
253,Brighton,Aston Villa,H
254,Everton,Man City,A
255,West Ham,Wolves,H
256,Burnley,Leicester,A
257,Leicester,Leeds,H
258,Aston Villa,Southampton,D
259,Burnley,Chelsea,A
260,Newcastle,Brighton,H
261,Norwich,Brentford,D
262,Wolves,Crystal Palace,H
263,Liverpool,West Ham,H
264,Watford,Arsenal,A
265,Man City,Man United,A
266,Tottenham,Everton,H
267,Norwich,Chelsea,A
268,Southampton,Newcastle,H
269,Wolves,Watford,H
270,Leeds,Aston Villa,A
271,Brighton,Liverpool,A
272,Brentford,Burnley,D
273,Man United,Tottenham,H
274,Chelsea,Newcastle,H
275,Everton,Wolves,A
276,Leeds,Norwich,D
277,Southampton,Watford,H
278,West Ham,Aston Villa,H
279,Arsenal,Leicester,H
280,Crystal Palace,Man City,A
281,Brighton,Tottenham,A
282,Arsenal,Liverpool,H
283,Everton,Newcastle,H
284,Wolves,Leeds,H
285,Aston Villa,Arsenal,H
286,Leicester,Brentford,H
287,Tottenham,West Ham,H
288,Liverpool,Watford,H
289,Brighton,Norwich,H
290,Burnley,Man City,A
291,Chelsea,Brentford,H
292,Leeds,Southampton,A
293,Wolves,Aston Villa,H
294,Man United,Leicester,H
295,West Ham,Everton,H
296,Tottenham,Newcastle,H
297,Crystal Palace,Arsenal,H
298,Burnley,Everton,D
299,Newcastle,Wolves,A
300,Everton,Man United,A
301,Arsenal,Brighton,H
302,Southampton,Chelsea,A
303,Watford,Leeds,D
304,Aston Villa,Tottenham,H
305,Brentford,West Ham,A
306,Leicester,Crystal Palace,H
307,Norwich,Burnley,D
308,Man City,Liverpool,H
309,Tottenham,Brighton,D
310,Man United,Norwich,H
311,Southampton,Arsenal,A
312,Watford,Brentford,A
313,Newcastle,Leicester,A
314,West Ham,Burnley,H
315,Liverpool,Man United,H
316,Chelsea,Arsenal,H
317,Everton,Leicester,A
318,Newcastle,Crystal Palace,A
319,Man City,Brighton,H
320,Burnley,Southampton,A
321,Arsenal,Man United,H
322,Leicester,Aston Villa,D
323,Man City,Watford,H
324,Norwich,Newcastle,A
325,Brentford,Tottenham,A
326,Brighton,Southampton,H
327,Burnley,Wolves,A
328,Chelsea,West Ham,A
329,Liverpool,Everton,H
330,Crystal Palace,Leeds,H
331,Man United,Chelsea,A
332,Newcastle,Liverpool,A
333,Aston Villa,Norwich,H
334,Southampton,Crystal Palace,H
335,Watford,Burnley,A
336,Wolves,Brighton,D
337,Leeds,Man City,A
338,Everton,Chelsea,A
339,Tottenham,Leicester,H
340,West Ham,Arsenal,H
341,Man United,Brentford,H
342,Brentford,Southampton,H
343,Burnley,Aston Villa,A
344,Chelsea,Wolves,A
345,Crystal Palace,Watford,H
346,Brighton,Man United,A
347,Liverpool,Tottenham,H
348,Arsenal,Leeds,H
349,Leicester,Everton,H
350,Norwich,West Ham,A
351,Man City,Newcastle,H
352,Aston Villa,Liverpool,A
353,Leeds,Chelsea,A
354,Leicester,Norwich,H
355,Watford,Everton,A
356,Wolves,Man City,A
357,Tottenham,Arsenal,H
358,Tottenham,Burnley,H
359,Aston Villa,Crystal Palace,D
360,Leeds,Brighton,A
361,Watford,Leicester,A
362,West Ham,Man City,A
363,Wolves,Norwich,H
364,Everton,Brentford,A
365,Newcastle,Arsenal,A
366,Southampton,Liverpool,A
367,Everton,Crystal Palace,A
368,Aston Villa,Burnley,H
369,Chelsea,Leicester,H
370,Arsenal,Everton,H
371,Brentford,Leeds,H
372,Brighton,West Ham,D
373,Burnley,Newcastle,A
374,Chelsea,Watford,H
375,Crystal Palace,Man United,H
376,Leicester,Southampton,H
377,Liverpool,Wolves,H
378,Man City,Aston Villa,H
379,Norwich,Tottenham,A
